Year   Age   Cohort      Female        Male       Total
 1923   80      1842    18453.94    11298.24    29752.18
 1923   81      1842    17022.09    10231.11    27253.19
 1923   81      1841    16327.80     9821.31    26149.11
 1923   82      1841    14930.40     8815.15    23745.55
 1923   82      1840    14308.73     8246.17    22554.90
 1923   83      1840    12935.13     7306.62    20241.75
 1923   83      1839    11733.01     6463.68    18196.69
 1923   84      1839    10501.72     5678.11    16179.83
 1923   84      1838     9110.59     4901.71    14012.30
 1923   85      1838     8070.48     4250.79    12321.27
 1923   85      1837     7343.33     3868.87    11212.20
 1923   86      1837     6453.70     3298.44     9752.14
 1923   86      1836     5768.20     2951.87     8720.06
 1923   87      1836     5013.39     2482.85     7496.25
 1923   87      1835     4456.60     2170.95     6627.55
 1923   88      1835     3828.59     1806.47     5635.06
 1923   88      1834     3443.16     1576.60     5019.76
 1923   89      1834     2911.55     1292.33     4203.88
 1923   89      1833     2636.25     1179.56     3815.81
 1923   90      1833     2204.38      956.48     3160.86
 1923   90      1832     1917.54      838.57     2756.11
 1923   91      1832     1614.23      678.50     2292.73
 1923   91      1831     1386.39      571.82     1958.21
 1923   92      1831     1157.57      457.76     1615.33
 1923   92      1830     1045.16      399.07     1444.23
 1923   93      1830      847.64      313.32     1160.95
 1923   93      1829      725.72      273.79      999.51
 1923   94      1829      580.93      211.55      792.49
 1923   94      1828      482.24      184.09      666.33
 1923   95      1828      383.02      138.66      521.68
 1923   95      1827      330.73      118.79      449.52
 1923   96      1827      262.94       88.79      351.74
 1923   96      1826      215.08       74.03      289.11
 1923   97      1826      164.97       53.98      218.95
 1923   97      1825      136.97       44.21      181.18
 1923   98      1825      100.96       31.40      132.36
 1923   98      1824       81.50       30.35      111.85
 1923   99      1824       59.34       21.42       80.77
 1923   99      1823       48.79       16.83       65.61
 1923   100     1823       34.10       10.63       44.73
 1923   100     1822       30.51        8.26       38.78
 1923   101     1822       20.35        4.88       25.23
 1923   101     1821       19.51        5.97       25.48
 1923   102     1821       13.16        3.96       17.12
 1923   102     1820       11.35        3.19       14.54
 1923   103     1820        7.64        1.82        9.46
 1923   103     1819        5.86        1.50        7.36
 1923   104     1819        3.89        0.79        4.67
 1923   104     1818        3.41        0.86        4.27
 1923   105     1818        1.90        0.59        2.49
 1923   105     1817        2.40        0.39        2.79
 1923   106     1817        1.41        0.23        1.64
 1923   106     1816        1.32        0.00        1.32
 1923   107     1816        0.65        0.00        0.65
 1923   107     1815        0.32        0.00        0.32
 1923   108     1815        0.00        0.00        0.00
 1923   108     1814        0.00        0.00        0.00
 1923   109     1814        0.00        0.00        0.00
 1923   109     1813        0.00        0.00        0.00
 1923   110      0       0.00        0.00        0.00
 1924    0      1924   204269.14   212175.30   416444.43
 1924    0      1923   208493.39   214617.56   423110.95
 1924    1      1923   203701.09   208378.25   412079.34
 1924    1      1922   208714.93   213971.90   422686.83
 1924    2      1922   206559.51   211420.59   417980.10
 1924    2      1921   218988.94   223638.85   442627.79
 1924    3      1921   217956.00   222607.28   440563.28
 1924    3      1920   225106.93   230924.15   456031.07
 1924    4      1920   224384.48   230090.10   454474.58
 1924    4      1919   198627.88   203787.19   402415.07
 1924    5      1919   198396.72   203484.09   401880.81
 1924    5      1918   158011.01   160919.99   318931.01
 1924    6      1918   157828.82   160775.42   318604.24
 1924    6      1917   165029.05   167594.03   332623.07
 1924    7      1917   164597.63   167247.42   331845.05
 1924    7      1916   181898.93   185081.35   366980.28
 1924    8      1916   181703.87   184933.94   366637.81
 1924    8      1915   195496.81   197622.34   393119.15
 1924    9      1915   195128.03   197269.01   392397.04
 1924    9      1914   207043.03   207401.77   414444.79
 1924   10      1914   206802.94   207003.12   413806.07
 1924   10      1913   209198.22   209235.99   418434.20
 1924   11      1913   208704.67   208281.94   416986.60
 1924   11      1912   207436.09   208498.65   415934.74
 1924   12      1912   207183.21   207579.75   414762.95
 1924   12      1911   206542.48   207446.44   413988.91
 1924   13      1911   206361.81   206406.44   412768.24
 1924   13      1910   208743.41   208462.64   417206.05
 1924   14      1910   208447.69   207116.84   415564.53
 1924   14      1909   212210.30   211231.07   423441.37
 1924   15      1909   211956.38   209837.30   421793.68
 1924   15      1908   214169.40   211914.62   426084.02
 1924   16      1908   213820.04   210223.27   424043.31
 1924   16      1907   212746.82   209809.20   422556.02
 1924   17      1907   212450.75   208052.26   420503.01
 1924   17      1906   209693.65   206817.55   416511.20
 1924   18      1906   209438.73   205202.31   414641.03
 1924   18      1905   208333.65   204721.64   413055.30
 1924   19      1905   208005.30   203158.60   411163.90
 1924   19      1904   206333.40   200867.07   407200.47
 1924   20      1904   206000.53   199564.44   405564.97
 1924   20      1903   204511.24   197124.19   401635.44
 1924   21      1903   203801.94   195611.55   399413.49
 1924   21      1902   203286.07   193541.77   396827.84
 1924   22      1902   202300.23   192063.83   394364.05
 1924   22      1901   199949.07   185629.28   385578.35
 1924   23      1901   199099.79   184842.14   383941.93
 1924   23      1900   199788.53   180744.80   380533.33
 1924   24      1900   199234.09   180561.72   379795.81
 1924   24      1899   195922.93   171130.35   367053.28
 1924   25      1899   194741.48   170462.30   365203.78
 1924   25      1898   192094.90   161236.79   353331.69
 1924   26      1898   190838.31   160346.66   351184.97
 1924   26      1897   191886.32   157899.26   349785.58
 1924   27      1897   190362.55   156760.43   347122.98
 1924   27      1896   189909.50   155341.08   345250.58
 1924   28      1896   188567.91   154372.49   342940.40
 1924   28      1895   187049.82   153647.78   340697.60
 1924   29      1895   185708.75   152606.24   338315.00
 1924   29      1894   183670.79   152190.04   335860.83
 1924   30      1894   182458.31   151209.22   333667.53
 1924   30      1893   182141.87   151391.34   333533.21
 1924   31      1893   180962.00   150575.75   331537.75
 1924   31      1892   181170.85   151471.33   332642.18
 1924   32      1892   180418.61   151065.87   331484.49
 1924   32      1891   180620.25   151198.25   331818.49
 1924   33      1891   179481.75   150595.38   330077.14
 1924   33      1890   175276.39   147778.17   323054.55
 1924   34      1890   174377.56   147393.69   321771.26
 1924   34      1889   167501.11   143001.02   310502.14
 1924   35      1889   166469.47   142421.30   308890.76
 1924   35      1888   171360.45   145617.07   316977.52
 1924   36      1888   170744.88   145199.46   315944.34
 1924   36      1887   168244.11   143172.56   311416.67
 1924   37      1887   167447.63   142498.69   309946.33
 1924   37      1886   167003.48   142143.13   309146.61
 1924   38      1886   165913.57   141299.28   307212.84
 1924   38      1885   167314.42   143622.47   310936.89
 1924   39      1885   166181.81   142789.87   308971.68
 1924   39      1884   162789.35   141025.78   303815.13
 1924   40      1884   161810.10   140192.84   302002.94
 1924   40      1883   163708.09   141145.71   304853.81
 1924   41      1883   162649.47   140280.57   302930.03
 1924   41      1882   165994.16   144411.60   310405.76
 1924   42      1882   165014.11   143651.85   308665.96
 1924   42      1881   165729.29   146326.20   312055.50
 1924   43      1881   164547.88   145528.48   310076.37
 1924   43      1880   160668.81   142570.04   303238.86
 1924   44      1880   159874.19   142027.81   301902.00
 1924   44      1879   152058.89   135852.22   287911.11
 1924   45      1879   150796.03   134847.06   285643.09
 1924   45      1878   153891.30   136250.32   290141.62
 1924   46      1878   152849.17   135360.06   288209.24
 1924   46      1877   148578.15   133049.69   281627.83
 1924   47      1877   147917.59   132411.17   280328.76
 1924   47      1876   147759.30   134547.33   282306.63
 1924   48      1876   146970.08   133677.47   280647.55
 1924   48      1875   144646.82   134177.75   278824.57
 1924   49      1875   143492.52   133026.23   276518.75
 1924   49      1874   137064.94   128863.48   265928.42
 1924   50      1874   136063.14   127811.70   263874.84
 1924   50      1873   136597.52   128091.66   264689.18
